date,name,text,comment_count,like_count,link
"Monday, 20 July 2020 at 5:32 pm",,"BUSH WEEK THEME ANNOUNCEMENT
🌳George Bush Week 🌳
This means you get to see all your favourite conspiracy theories. While covid restrictions will mean you can’t dress up in your aluminium foil hat for a bar night, you will still see the theme in other places.
It is also important to remember that some conspiracy theories are tied to historical events that caused a great deal of distress to people. There are also current conspiracy theories which may target particular countries or groups of people. While it is possible to have a great deal of fun with the theme, we are all adults and must remember to consider the impact of our behaviour and endeavour to minimise harm to all groups of Fenner residents. The FRC will be making every effort to ensure that no Fenner Resident feels unwelcome or uncomfortable as a result of the theme and we ask that you extend your fellow residents the same courtesy.
Keep an eye out for the soon to be released calendar of events and get ready to have some fun faking another moon landing, confronting the lizard people and having your flu shot.",7,32,https://www.facebook.com/groups/fennerhall/permalink/2915368378592433/
,,,0,0,
,,,0,0,
"Monday, 20 July 2020 at 5:54 pm",Phoebe Spurrier,"Hi!!! Dot and I would very much appreciate you taking 3min to complete our short SR Symposium survey on the topic of indoor plants and well being within the Fenner Hall community.
Thank you all very much <3 (you do not need to own indoor plants to take this survey)
https://docs.google.com/…/1FAIpQLSfGjFaK75IFQwUQl…/viewform…
🌿🌎🐛🐿🌳🌲🍄🍁🌸🌞",3,9,https://www.facebook.com/groups/fennerhall/permalink/2915401125255825/
,,,0,0,
,,,0,0,
,,,0,0,
"Monday, 20 July 2020 at 5:10 pm",Katharine Kenton,"COACHING APPLICATIONS
Soccer (women*), AFL (men*) and AFL 9’s (women*) want some more love
Hey everyone! Make sure to sign up for a coaching position, the form closes 6pm tomorrow!
We’d love some more first years to apply, so if you have any idea on how the sport works, and want to get some Fenner spirit, be sure to sign up!
We can’t guarantee the return of iso sport, as the situation is constantly changing, but this is what we are hoping for.
Positions available are (2 per sport):
AFL (Men*)
AFL 9s (Women*)
Netball (Women*)
Soccer (Men*)
Soccer (Women*)
Volleyball (Women*)
As well as these sports, games for disc and volleyball that weren't completed in term 1 will be resuming.
Coaches who will be continuing on from term 1:
Disc: Liam Dooley and Alex Matters
Men's Volleyball: Calum Snowdon and Joshua Hammond
Women's Volleyball: Luka Mijnarends + a new coach (applications are open for this position)
Feel free to message me, or any other sport committee member if you have questions!!",0,3,https://www.facebook.com/groups/fennerhall/permalink/2915332591929345/
"Saturday, 18 July 2020 at 5:29 pm",,Anyone has any course in autumn session this semester? ( during the teaching break in April ) I wanna apply for CRS for mine but it doesn’t show up when I fill up the Eform. The grade’s only on ISIS. 😿,2,1,https://www.facebook.com/groups/fennerhall/permalink/2909679679161303/
,,,0,0,
"Sunday, 19 July 2020 at 2:08 pm",Cate Pearce,"TLDR: pls take our symposium survey (potential free chocolate*)🤩🤩
Hello fenner, it’s Lizzie Hill and I here 🤠👍🏻 For symposium we are looking at the effect of COVID-19 restrictions 😤 on the fenner community🥳. For the sake of an even better fenner in the future (high stakes here 🥴) please answer this super quick, heaps chill survey! 🕺🏻❤️
*theres no free chocolate - just love and appreciation",4,17,https://www.facebook.com/groups/fennerhall/permalink/2912229665572971/
,,,0,0,
,,,0,0,
"Sunday, 19 July 2020 at 9:09 am",,Hi does anyone have a small bluetooth speaker I could borrow at midday?? much appreciated xoxoxo,2,2,https://www.facebook.com/groups/fennerhall/permalink/2911536838975587/
,,,0,0,
,,,0,0,
"Saturday, 18 July 2020 at 2:09 pm",,"Hey guys, I had put a fry pan, a bag of starch and some other stuffs in S664 cupboard and they disappeared this morning. Did anyone move them? Please put them back. 😭😭😭",9,11,https://www.facebook.com/groups/fennerhall/permalink/2909353685860569/
,,,0,0,
,,,0,0,
,,,0,0,
"Saturday, 18 July 2020 at 8:25 pm",Rory Spurgeon,"COACHING FOR INTER HALL SPORTS TERM 3🏉🏐⚽️🏐🥏
If you’re interested in one of these sports and want to get a win for fenner sign up now.
Sports that you can apply to coach: (2 coaches per sport)
AFL (Men*)
AFL 9s (Women*)
Netball (Women*)
Soccer (Men*)
Soccer (Women*)
Volleyball (Women*)
We will also be finishing off some sports from term 1 (disk and volleyball).
These coaches will stay the same except for ONE MORE WOMENS VOLLEYBALL COACH.
Disc: Liam Dooley and Alex Matters
Men's Volleyball: Calum Snowdon and Joshua Hammond
Women's Volleyball: Luka Mijnarends + a new coach (applications are open for this)
The games will depend on what ISO and the uni will allow, but we are planning for it to go ahead. Either way if you’re interested still sign up.
We have to have coaches for all the sports so if you like the game, get around it, and put your hand up. It will be great experience and pretty fun so definitely consider it.
There's more information in the form and if you have any questions, please just send me or any of the other sports reps a message.",2,10,https://www.facebook.com/groups/fennerhall/permalink/2909969899132281/
,,,0,0,
,,,0,0,
"Saturday, 18 July 2020 at 10:02 am",,"Update: I have found one! dankeschön!
Hi all! Does anyone have a loaf tin that I could borrow?",9,11,https://www.facebook.com/groups/fennerhall/permalink/2908853385910599/
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
"Friday, 17 July 2020 at 3:33 pm",Liam Dooley,"😍🎉 SYMPOSIUM SURVEY - PLEASE RESPOND!! 🎉😍
Do you currently have too much time on your hands? Well, Grace and I have the perfect task to cure your boredom!
Attached is a survey that we will be using to form the basis of our Symposium presentation (research about different aspects of Fenner carried out by SRs). The questions require a bit of thought, but please get creative and help us explore the different perceptions of the Fenner Hall community!",0,11,https://www.facebook.com/groups/fennerhall/permalink/2906678762794728/
"Friday, 17 July 2020 at 9:11 am",,does anyone have a 1 or 2kg dumbbell?,5,9,https://www.facebook.com/groups/fennerhall/permalink/2906019896193948/
,,,0,0,
,,,0,0,
,,,0,0,
"Wednesday, 15 July 2020 at 7:06 pm",,Free bread in the warren in approx 15 min ❤,2,7,https://www.facebook.com/groups/fennerhall/permalink/2901614316634506/
,,,0,0,
,,,0,0,
