date,name,text,comment_count,like_count,link
"Tuesday, 21 July 2020 at 11:46 am",Joshua Polak,"TLDR: Fill out our anonymous survey about drugs and alcohol if you haven't done so already. Survey closes at 5pm TODAY.
https://forms.gle/uRk3DRdfgGmF1KFd6
Hey Fenner, it would be great if you could fill out this survey if you haven't done so already. The SRs would love your anonymous input. We will present the results at the annual symposium. We only need 15 more responses to get to 100.",0,1,https://www.facebook.com/groups/fennerhall/permalink/2917450025050935/
"Tuesday, 21 July 2020 at 8:49 am",Erin Barr,"Content Warning: Questions surrounding sexual violence / respectful relationships education at the ANU.
College Program Survey: https://forms.gle/9Lvkp35TW2wvDZrKA
Hey everyone! The STOP Campaign is surveying students about respectful relationships and sex education at the ANU.
The STOP Campaign is a grassroots movement, aiming to create and sustain positive social and cultural change surrounding respectful relationships and sexual violence at Australian universities.
The Campaig...
See more",0,4,https://www.facebook.com/groups/fennerhall/permalink/2917151918414079/
"Monday, 20 July 2020 at 5:32 pm",,"BUSH WEEK THEME ANNOUNCEMENT
🌳George Bush Week 🌳
This means you get to see all your favourite conspiracy theories. While covid restrictions will mean you can’t dress up in your aluminium foil hat for a bar night, you will still see the theme in other places. ...
See more",7,34,https://www.facebook.com/groups/fennerhall/permalink/2915368378592433/
,,,0,0,
,,,0,0,
"Monday, 20 July 2020 at 5:54 pm",Phoebe Spurrier,"Hi!!! Dot and I would very much appreciate you taking 3min to complete our short SR Symposium survey on the topic of indoor plants and well being within the Fenner Hall community.
Thank you all very much <3 (you do not need to own indoor plants to take this survey)
https://docs.google.com/…/1FAIpQLSfGjFaK75IFQwUQl…/viewform…
🌿🌎🐛🐿🌳🌲🍄🍁🌸🌞",3,11,https://www.facebook.com/groups/fennerhall/permalink/2915401125255825/
,,,0,0,
,,,0,0,
,,,0,0,
"Monday, 20 July 2020 at 5:10 pm",Katharine Kenton,"COACHING APPLICATIONS
Soccer (women*), AFL (men*) and AFL 9’s (women*) want some more love
Hey everyone! Make sure to sign up for a coaching position, the form closes 6pm tomorrow! ...
See more",0,3,https://www.facebook.com/groups/fennerhall/permalink/2915332591929345/
"Saturday, 18 July 2020 at 5:29 pm",,Anyone has any course in autumn session this semester? ( during the teaching break in April ) I wanna apply for CRS for mine but it doesn’t show up when I fill up the Eform. The grade’s only on ISIS. 😿,2,1,https://www.facebook.com/groups/fennerhall/permalink/2909679679161303/
,,,0,0,
"Sunday, 19 July 2020 at 2:08 pm",Cate Pearce,"TLDR: pls take our symposium survey (potential free chocolate*)🤩🤩
Hello fenner, it’s Lizzie Hill and I here 🤠👍🏻 For symposium we are looking at the effect of COVID-19 restrictions 😤 on the fenner community🥳. For the sake of an even better fenner in the future (high stakes here 🥴) please answer this super quick, heaps chill survey! 🕺🏻❤️
*theres no free chocolate - just love and appreciation",4,17,https://www.facebook.com/groups/fennerhall/permalink/2912229665572971/
,,,0,0,
,,,0,0,
"Sunday, 19 July 2020 at 9:09 am",,Hi does anyone have a small bluetooth speaker I could borrow at midday?? much appreciated xoxoxo,2,2,https://www.facebook.com/groups/fennerhall/permalink/2911536838975587/
,,,0,0,
,,,0,0,
"Saturday, 18 July 2020 at 2:09 pm",,"Hey guys, I had put a fry pan, a bag of starch and some other stuffs in S664 cupboard and they disappeared this morning. Did anyone move them? Please put them back. 😭😭😭",9,11,https://www.facebook.com/groups/fennerhall/permalink/2909353685860569/
,,,0,0,
,,,0,0,
,,,0,0,
"Saturday, 18 July 2020 at 8:25 pm",Rory Spurgeon,"COACHING FOR INTER HALL SPORTS TERM 3🏉🏐⚽️🏐🥏
If you’re interested in one of these sports and want to get a win for fenner sign up now.
Sports that you can apply to coach: (2 coaches per sport)...
See more",2,10,https://www.facebook.com/groups/fennerhall/permalink/2909969899132281/
