date,name,text,comment_count,like_count,link
"Thursday, 15 August 2019 at 10:55 pm",Kevin Marco Tanaya,"Content Warning: Sexual Violence and Trauma
.
.
.
.
Looking for a way to be creative and share your work? The STOP Campaign is creating another zine (yay)! The vision for our zine is an exploration of change. Through the theme of change, we hope our readers go on a journey from the stories of survivors to the positive and negative roads of recovery and the future of the STOP Campaign.
We are looking for a variety of submissions from memoirs, opinion pieces, poetry to comics, satire and opinion. We want this zine to promote positive change within the ANU and provide survivors of sexual violence with a voice. You are never alone, speak up and seek support!
✨✨The deadline to submit is Monday 23rd September (Week 8 ANU timetable) so get those submissions in! ✨✨",0,0,https://www.facebook.com/groups/1611813365545792/permalink/2485343571526096/
"Friday, 5 July 2019 at 7:57 am",Cut Nuke,"REGISTER NOW
2019 Indonesia Update
From stagnation to regression? Indonesian democracy after twenty years
An updated program is now available on the website.
This conference examines the quality of Indonesian democracy. The contributors will identify, assess and debate the signs of democratic backsliding across a range of political and institutional contexts. They will do so with a view not just to assessing Indonesia’s democratic evolution over time, but also to situating Indonesia in the context of a global democratic recession.
This conference is convened by Eve Warburton (ANU & NUS) and Thomas Power (ANU).",0,0,https://www.facebook.com/groups/1611813365545792/permalink/2410159672377820/
"Sunday, 23 June 2019 at 8:30 am",ANU Indonesian Students' Association,"Looking for a multicultural, Asia-Pacific volunteering experience?
ANUISA is looking for volunteers (casts, performers, productions etc.) for our biggest event of the year, PASPAMPRES: Pasar, Penampilan dan Presentasi Budaya! (Open to everyone)
What? An Indonesian drama and cultural performance with the theme of ‘The Struggle for Love’, combined with a traditional folk market which provides free Indonesian food 😱😱
Positions in the Production, Marketing, Logistics, Costumes, etc. are available!
If you’re interested, please sign up through: bit.ly/VolunteerPASPAMPRES 😊",0,6,https://www.facebook.com/groups/1611813365545792/permalink/2387847174609070/
"Tuesday, 11 June 2019 at 9:13 pm",Kevin Marco Tanaya,,0,0,https://www.facebook.com/groups/1611813365545792/permalink/2366477056746082/
"Wednesday, 27 March 2019 at 12:34 am",,"Pusing nan jenuh di tengah-tengah semester??
Jarang bicara Bahasa Indonesia di kelas? Mau curhat pakai Bahasa Indonesia?
Yuk ikut Nongkrong Bareng ANUISA! Sembari jalan sembari ngobrol ke Lake Burley (ps ada fresh fruits buat kamu).
Yuk ajak teman-teman kalian :) see you guys there!",0,1,https://www.facebook.com/groups/1611813365545792/permalink/2239819959411793/
"Monday, 11 March 2019 at 4:28 pm",,,0,3,https://www.facebook.com/groups/1611813365545792/permalink/2217880994939023/
"Monday, 4 March 2019 at 12:13 pm",Felix Galih Bhaswara,"Hi teman-teman ANUISA,
Dalam rangka kegiatan Pemilihan Umum 2019, berikut nama-nama KPPSLN sementara untuk suburb region ACT, Canberra.
Untuk menanggapi daftar hasil sementara KPPSLN, masyarakat dapat menghubungi: panitia-act@ppln-oz.org",0,0,https://www.facebook.com/groups/1611813365545792/permalink/2207878109272645/
"Tuesday, 26 February 2019 at 12:00 pm",ANU Indonesian Students' Association,"Halo Semua! ANUISA akan mengadakan acara 'Welcoming Party' pada hari Jumat ini tanggal 1 Maret yang bertujuan untuk menyambut mahasiswa/i baru Indonesia. Acaranya free for indonesians, open for all dan akan ada performances, games dan hidangan makanan Indonesia! 😋
Untuk kebutuhan konsumsi, silahkan register di link dibawah ini:
https://www.eventbrite.com.au/e/anu-isa-welcoming-party-201…
Ajak teman-temanmu dan sampai jumpa Jumat! 😀
Event Page: https://www.facebook.com/events/2303377826541402/",0,0,https://www.facebook.com/groups/1611813365545792/permalink/2197970476930075/
"Thursday, 20 December 2018 at 7:48 pm",ANU Indonesian Students' Association,"Halo semuanya!
PPIA Australia sedang mengumpulkan data para mahasiswa-mahasiswi Indonesia di Canberra,
Isi yuk form ini yang akan hanya memakan waktu 1-2 menit!
https://docs.google.com/…/1FAIpQLSc8YPrA2Jd-66SGw-…/viewform
Jika kalian ingin terhubungi dengan komunitas Indonesia di Australia yang berada di luar Canberra, yuk isi form diatas! 😊",0,0,https://www.facebook.com/groups/1611813365545792/permalink/2097660030294454/
"Wednesday, 14 November 2018 at 1:11 pm",ANU Indonesian Students' Association,"Mari teman-teman datang ke Indonesian Festival Sabtu ini dari jam 11-4 di Indonesian Embassy untuk mencicipi aneka ragam kuliner dan pentas budaya Indonesia.
And come over to our stall for these cool and classic refreshments! 😍",0,1,https://www.facebook.com/groups/1611813365545792/permalink/2046652125395245/
